initial_payment,car,price,months_term,miles_per_annum
"£3,158.91 ex VAT",Audi A4 Allroad Estate 3.0 TDI Quattro Sport 5dr S Tronic [2018],£350.99,48,"5,000"
"£3,158.91 ex VAT",Honda Civic Hatchback 2.0 VTEC Turbo Type R GT 5dr [2017],£350.99,48,"5,000"
"£3,167.91 ex VAT",BMW 5 Series Saloon 525d M Sport 4dr Auto [2018.75],£351.99,48,"5,000"
"£3,167.91 ex VAT",Audi A4 Allroad Estate 2.0T FSI Quattro Sport 5dr S Tronic [2018],£351.99,48,"5,000"
"£3,176.91 ex VAT",Volvo Xc90 Suv 2.0 T5 [250] R DESIGN 5dr AWD Gtron [2019],£352.99,36,"5,000"
"£3,185.91 ex VAT",Volkswagen Touareg Suv 3.0 V6 TDI 4Motion SEL 5dr Tip Auto ,£353.99,24,"5,000"
"£3,203.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 Landmark 5dr Auto [2019],£355.99,48,"5,000"
"£3,212.91 ex VAT",Land Rover Discovery Sport Suv 2.0 TD4 180 HSE 5dr [2019],£356.99,48,"5,000"
"£3,212.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 P250 S 5dr Auto [2019],£356.99,48,"5,000"
"£3,239.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 220d 4Matic AMG Line Prem Plus 5dr 9G-Tronic [2019],£359.99,48,"5,000"
"£3,248.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 P250 SE 5dr Auto [2019],£360.99,24,"5,000"
"£3,248.91 ex VAT",Audi A4 Allroad Estate 3.0 TDI Quattro Sport 5dr S Tronic [Tech Pack] [2018],£360.99,48,"5,000"
"£3,248.91 ex VAT",BMW 5 Series Estate 530d SE 5dr Auto [2018.75],£360.99,48,"5,000"
"£3,257.91 ex VAT",Audi A4 Allroad Estate 2.0T FSI Quattro Sport 5dr S Tronic [Tech Pack] [2018],£361.99,48,"5,000"
"£3,266.91 ex VAT",Land Rover Discovery Sport Estate 2.0 Si4 240 HSE Luxury 5dr Auto [2019],£362.99,48,"5,000"
"£3,275.91 ex VAT",Jaguar F-pace Estate 2.0d Portfolio 5dr Auto AWD [2018],£363.99,48,"5,000"
"£3,284.91 ex VAT",BMW M2 Coupe M2 Competition 2dr DCT [2019],£364.99,24,"5,000"
"£3,284.91 ex VAT",Mercedes-Benz Glc Coupe Coupe GLC 250d 4Matic AMG Line Premium 5dr 9G-Tronic [2019],£364.99,48,"5,000"
"£3,302.91 ex VAT",Jaguar I-pace Estate 90kWh EV400 S 5dr Auto [2019],£366.99,24,"5,000"
"£3,302.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D240 SE 5dr Auto [2019],£366.99,48,"5,000"
"£3,311.91 ex VAT",Audi A5 Convertible 2.0 TFSI Quattro S Line 2dr S Tronic [2018],£367.99,48,"5,000"
"£3,320.91 ex VAT",BMW 5 Series Saloon 540i xDrive SE 4dr Auto [2018.75],£368.99,36,"5,000"
"£3,320.91 ex VAT",Volvo Xc90 Suv 2.0 D5 PowerPulse R DESIGN Pro 5dr AWD Geartronic [2019],£368.99,48,"5,000"
"£3,338.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 HSE Dynamic 5dr [2019],£370.99,48,"5,000"
"£3,338.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 HSE 5dr Auto [2019],£370.99,48,"5,000"
"£3,356.91 ex VAT",Audi A6 Allroad Estate 3.0 TDI 218 Quattro Sport 5dr S Tronic [Tech] [2018],£372.99,48,"5,000"
"£3,356.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 P250 R-Dynamic S 5dr Auto [2019],£372.99,48,"5,000"
"£3,365.91 ex VAT",Volvo Xc90 Suv 2.0 T6 [310] Inscription 5dr AWD Geartronic [2019],£373.99,36,"5,000"
"£3,365.91 ex VAT",Mercedes-Benz Gle Estate GLE 250d 4Matic AMG Night Edition 5dr 9G-Tronic [2018.5],£373.99,48,"5,000"
"£3,374.91 ex VAT",Land Rover Range Rover Velar Estate 2.0 D180 R-Dynamic 5dr Auto [2019],£374.99,36,"8,000"
"£3,374.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 eD4 HSE Dynamic Lux 5dr 2WD [2019],£374.99,48,"5,000"
"£3,383.91 ex VAT",Volvo Xc90 Suv 2.0 D5 PowerPulse Inscription Pro 5dr AWD G tronic [2019],£375.99,48,"5,000"
"£3,392.91 ex VAT",Audi Q5 Suv 2.0 TDI Quattro S Line 5dr S Tronic [Tech Pack] [2018],£376.99,48,"5,000"
"£3,392.91 ex VAT",BMW 5 Series Saloon 530e SE 4dr Auto [2018.75],£376.99,48,"5,000"
"£3,401.91 ex VAT",Mercedes-Benz E Class Coupe E220d AMG Line Premium 2dr 9G-Tronic [2019],£377.99,48,"10,000"
"£3,419.91 ex VAT",Land Rover Discovery Sport Suv 2.0 TD4 180 HSE 5dr Auto [2019],£379.99,48,"5,000"
"£3,437.91 ex VAT",BMW 5 Series Estate 530d xDrive SE 5dr Auto [2018.75],£381.99,48,"5,000"
"£3,464.91 ex VAT",Mercedes-Benz Glc Estate GLC 43 4Matic 5dr 9G-Tronic [2019],£384.99,48,"5,000"
"£3,473.91 ex VAT",BMW 6 Series Hatchback 630d SE 5dr Auto [2018.5],£385.99,48,"5,000"
"£3,491.91 ex VAT",BMW X3 Suv xDrive30d xLine 5dr Step Auto [2018.75],£387.99,48,"5,000"
"£3,500.91 ex VAT",Land Rover Range Rover Evoque Suv 2.0 TD4 HSE Dynamic 5dr Auto [2019],£388.99,48,"5,000"
"£3,500.91 ex VAT",Land Rover Discovery Suv 2.0 Si4 S 5dr Auto [2019],£388.99,48,"5,000"
